"","meter","ces_3","ces_4","ces_5","ces_6","ces_7","syll_tag1","syll_tag1 -1","syll_tag2","syll_tag2 -1","syll_tag3","syll_tag3 -1","syll_tag4","syll_tag4 -1","syll_tag5","syll_tag5 -1","syll_tag6","syll_tag6 -1","syll_tag7","syll_tag7 -1","syll_tag8","syll_tag8 -1","syll_tag9","syll_tag9 -1","syll_tag10","syll_tag10 -1","syll_tag11","syll_tag11 -1","syll_tag12","syll_tag13","syll_tag14","syll_tag15","rime","schwa_C_sum_temp","schwa_V_sum","schwa_C_sum","schwa_C","schwa_V","percent_schwa_C","percent_schwa_V","SYLL_TAG1","SYLL_TAG1 -1","SYLL_TAG2","SYLL_TAG2 -1","SYLL_TAG3","SYLL_TAG3 -1","SYLL_TAG4","SYLL_TAG4 -1","SYLL_TAG5","SYLL_TAG5 -1","SYLL_TAG6","SYLL_TAG6 -1","SYLL_TAG7","SYLL_TAG7 -1","SYLL_TAG8","SYLL_TAG8 -1","SYLL_TAG9","SYLL_TAG9 -1","SYLL_TAG10","SYLL_TAG10 -1","SYLL_TAG11","SYLL_TAG11 -1","SYLL_TAG12","SYLL_TAG12 -1","SYLL_TAG13","SYLL_TAG13 -1","SYLL_TAG14","SYLL_TAG14 -1","SYLL_TAG15","SYLL_TAG15 -1","SYLL_TAG16","SYLL_TAG16 -1","SYLL_TAG17","SYLL_TAG17 -1","SYLL_TAG18","SYLL_TAG18 -1","SYLL_TAG19","SYLL_TAG19 -1","SYLL_TAG20","SYLL_TAG20 -1","SYLL_TAG21","SYLL_TAG21 -1","SYLL_TAG22","SYLL_TAG22 -1","SYLL_TAG23","SYLL_TAG23 -1","SYLL_TAG24","SYLL_TAG24 -1","NUM_L","METER","CES_3","CES_4","CES_5","CES_6","CES_7"
"1",11,"3NA","4épC","5NA","6NA","7NA","1",NA,"1",NA,"1",NA,"2",NA,"0",NA,"1",NA,"2",NA,"2",NA,"1",NA,"1",NA,"2",NA,NA,NA,NA,NA,"2",1,0,1,"Yes","No",0.0909090909090909,0,"jo",NA,"më",NA,"crend",NA,"rei",NA,"ë",NA,"quë",NA,"vos",NA,"vos",NA,"mes",NA,"li",NA,"sez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,257,NA,NA,NA,NA,NA,NA
"2",11,"3NA","4épC","5NA","6NA","7NA","1",NA,"2",NA,"1",NA,"2",NA,"0",NA,"1",NA,"1",NA,"1",NA,"2",NA,"1",NA,"2",NA,NA,NA,NA,NA,"2",1,0,1,"Yes","No",0.0909090909090909,0,"ë",NA,"dit",NA,"al",NA,"cun",NA,"të",NA,"jo",NA,"në",NA,"vus",NA,"aim",NA,"ni",NA,"ent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306,NA,NA,NA,NA,NA,NA
"3",11,"3NA","4NA","5NA","6NA","7NA","1",NA,"2",NA,"1",NA,"2",NA,"1",NA,"1",NA,"1",NA,"2",NA,"1",NA,"1",NA,"2",NA,"0",NA,NA,NA,"0",2,0,0,"No","No",0,0,"liv",NA,"rez",NA,"lë",NA,"mei",NA,"jo",NA,"en",NA,"fe",NA,"rai",NA,"la",NA,"jus",NA,"ti",NA,"ce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,498,NA,NA,NA,NA,NA,NA
"4",11,"3NA","4épC","5NA","6NA","7NA","2",NA,"1",NA,"1",NA,"2",NA,"0",NA,"1",NA,"1",NA,"2",NA,"1",NA,"1",NA,"2",NA,NA,NA,NA,NA,"2",1,0,1,"Yes","No",0.0909090909090909,0,"dist",NA,"ar",NA,"ce",NA,"ves",NA,"quë",NA,"jo",NA,"i",NA,"rai",NA,"par",NA,"mun",NA,"chef",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,799,NA,NA,NA,NA,NA,NA
"5",11,"3NA","4épC","5NA","6NA","7NA","1",NA,"2",NA,"1",NA,"2",NA,"0",NA,"1",NA,"2",NA,"1",NA,"2",NA,"1",NA,"2",NA,NA,NA,NA,NA,"2",1,0,1,"Yes","No",0.0909090909090909,0,"dë",NA,"voz",NA,"ma",NA,"na",NA,"ces",NA,"cul",NA,"vert",NA,"jo",NA,"ai",NA,"es",NA,"soign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1232,NA,NA,NA,NA,NA,NA
"6",11,"3NA","4épC","5NA","6NA","7NA","2",NA,"1",NA,"0",NA,"2",NA,"0",NA,"2",NA,"1",NA,"1",NA,"2",NA,"1",NA,"2",NA,NA,NA,NA,NA,"2",2,0,2,"Yes","No",0.181818181818182,0,"mais",NA,"u",NA,"në",NA,"cho",NA,"së",NA,"vos",NA,"soi",NA,"jo",NA,"ben",NA,"gua",NA,"rant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1520,NA,NA,NA,NA,NA,NA
"7",11,"3NA","4NA","5NA","6NA","7épC","1",NA,"2",NA,"1",NA,"1",NA,"2",NA,"1",NA,"2",NA,"0",NA,"1",NA,"1",NA,"2",NA,NA,NA,NA,NA,"2",1,0,1,"Yes","No",0.0909090909090909,0,"jo",NA,"oi",NA,"al",NA,"cor",NA,"ner",NA,"quë",NA,"guai",NA,"res",NA,"në",NA,"viv",NA,"rat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2106,NA,NA,NA,NA,NA,NA
"8",11,"3NA","4épC","5NA","6NA","7NA","2","-1","2",NA,"2",NA,"2",NA,"0",NA,"1",NA,"1",NA,"2",NA,"2",NA,"1",NA,"2",NA,NA,NA,NA,NA,"2",1,1,1,"Yes","Yes",0.0909090909090909,0.0909090909090909,"si","re","a",NA,"pιed",NA,"es",NA,"tes",NA,"ë",NA,"jo",NA,"sui",NA,"a",NA,"ce",NA,"val",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2136,NA,NA,NA,NA,NA,NA
"9",11,"3NA","4NA","5NA","6NA","7NA","1",NA,"2",NA,"1",NA,"2",NA,"1",NA,"2",NA,"2",NA,"1",NA,"1",NA,"1",NA,"2",NA,"0",NA,NA,NA,"0",2,0,0,"No","No",0,0,"jo",NA,"ai",NA,"cun",NA,"té",NA,"i",NA,"ad",NA,"mais",NA,"quë",NA,"sept",NA,"li",NA,"we",NA,"es",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2757,NA,NA,NA,NA,NA,NA
"10",11,"3NA","4épC","5NA","6épC","7NA","1",NA,"2",NA,"1",NA,"2",NA,"0",NA,"2",NA,"0",NA,"1",NA,"1",NA,"1",NA,"2",NA,NA,NA,NA,NA,"2",2,0,2,"Yes","No",0.181818181818182,0,"est",NA,"reu",NA,"li",NA,"tind",NA,"rent",NA,"nei",NA,"mes",NA,"ë",NA,"jo",NA,"ce",NA,"rans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3111,NA,NA,NA,NA,NA,NA
"11",11,"3NA","4épC","5NA","6NA","7NA","2",NA,"1","-1","1",NA,"2",NA,"0",NA,"1",NA,"1",NA,"2",NA,"2","-1","1",NA,"2",NA,NA,NA,NA,NA,"2",1,2,1,"Yes","Yes",0.0909090909090909,0.181818181818182,"a",NA,"ces","te","es",NA,"pe",NA,"ë",NA,"quë",NA,"jo",NA,"ai",NA,"cein","te","i",NA,"ci",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3830,NA,NA,NA,NA,NA,NA
